Timestamp,28-00000eb5045f,28-00000eb3fd89,28-00000eb42add,28-00000eb51050,28-00000eb4cb62,28-00000eb4a798,28-00000ec23ab6,28-00000eb501b0,28-00000eb496d2,28-00000eb50e10,28-00000eb4b7e0,28-00000ec25534,28-00000ec24f93,28-00000eb3cf7d,28-00000eb4619b,28-00000eb3f54e,28-00000eb52c32,28-00000eb3e681,
2023-08-30 22:02:51.708646,14.039333333333333,14.071999999999997,14.057,14.144,14.351999999999999,22.445000000000004,22.43433333333333,21.49,22.955,20.496,23.081,21.826666666666668,22.741,20.658,22.632,13.028666666666666,20.856,13.436666666666667,
2023-08-30 22:03:51.739686,14.039333333333333,14.051,14.036,14.144,14.351999999999999,22.403000000000002,22.372,21.36366666666667,22.892,20.453333333333333,23.081,21.721999999999998,22.69966666666667,20.616,22.548,13.028666666666666,20.835,13.478,
2023-08-30 22:04:51.652057,14.018,14.051,14.036,14.144,14.351999999999999,22.382,22.33,21.279,22.892,20.432,23.060000000000002,21.680000000000003,22.657666666666668,20.595,22.506,13.008000000000001,20.793,13.457333333333333,
2023-08-30 22:05:51.620834,14.018,14.051,14.036,14.144,14.351999999999999,22.29733333333333,22.287999999999997,21.216,22.892,20.432,23.018,21.638,22.657666666666668,20.595,22.442999999999998,13.028666666666666,20.793,13.478,
2023-08-30 22:06:51.709325,14.018,14.051,14.036,14.123,14.351999999999999,22.256,22.267,21.153,22.871,20.453333333333333,23.018,21.596,22.657666666666668,20.552999999999997,22.401,13.008000000000001,20.814,13.478,
2023-08-30 22:07:51.683907,14.018,14.071999999999997,14.036,14.144,14.351999999999999,22.213333333333335,22.203999999999997,21.09,22.871,20.390666666666664,22.976,21.512,22.615,20.532,22.358999999999998,13.008000000000001,20.772333333333332,13.457333333333333,
2023-08-30 22:08:51.556242,14.018,14.030000000000001,14.036,14.144,14.351999999999999,22.191999999999997,22.203999999999997,21.09,22.871,20.34866666666667,22.955,21.449,22.615,20.490000000000002,22.358999999999998,13.008000000000001,20.731,13.478,
2023-08-30 22:09:51.758703,14.018,14.071999999999997,14.036,14.144,14.351999999999999,22.129,22.203999999999997,21.027,22.871,20.327333333333332,22.955,21.449,22.594333333333335,20.511,22.296000000000003,13.008000000000001,20.688333333333336,13.478,
2023-08-30 22:10:51.773205,14.039333333333333,14.030000000000001,14.036,14.144,14.351999999999999,22.129,22.203999999999997,21.027,22.892,20.306,22.955,21.42833333333333,22.553,20.469,22.296000000000003,13.008000000000001,20.688333333333336,13.478,
2023-08-30 22:11:51.619805,14.018,14.030000000000001,14.036,14.144,14.351999999999999,22.129,22.141000000000002,20.964,22.892,20.327333333333332,22.933999999999997,21.407666666666668,22.553,20.469,22.275000000000002,13.008000000000001,20.709666666666667,13.457333333333333,
2023-08-30 22:12:51.610587,14.039333333333333,14.030000000000001,14.036,14.144,14.351999999999999,22.108,22.203999999999997,20.942666666666664,22.933999999999997,20.37,22.892,21.387,22.553,20.511,22.274999999999995,13.008000000000001,20.709666666666667,13.457333333333333,
2023-08-30 22:13:51.741146,14.018,14.009,14.036,14.144,14.351999999999999,22.087,22.203999999999997,20.9,22.913,20.37,22.892,21.407666666666668,22.553,20.511,22.296000000000003,13.008000000000001,20.731,13.436666666666667,
2023-08-30 22:14:51.748049,14.018,14.030000000000001,14.036,14.144,14.351999999999999,22.066,22.161999999999995,20.9,22.912999999999997,20.37,22.892,21.407666666666668,22.553,20.532,22.296000000000003,13.008000000000001,20.731,13.436666666666667,
2023-08-30 22:15:51.620093,14.018,14.009,14.036,14.144,14.351999999999999,22.066,22.141000000000002,20.9,22.892,20.34866666666667,22.892,21.387,22.49,20.511,22.274999999999995,13.008000000000001,20.667,13.478,
2023-08-30 22:16:51.645632,14.018,14.030000000000001,14.036,14.165000000000001,14.351999999999999,22.066,22.141000000000002,20.9,22.828999999999997,20.306,22.871,21.323,22.49,20.469,22.233,13.008000000000001,20.667,13.457333333333333,
2023-08-30 22:17:51.740000,14.039333333333333,14.009,14.036,14.144,14.351999999999999,22.024,22.141000000000002,20.9,22.808000000000003,20.306,22.849999999999998,21.387,22.49,20.469,22.191000000000003,13.008000000000001,20.646333333333335,13.436666666666667,
2023-08-30 22:18:51.620047,14.018,14.009,14.036,14.144,14.351999999999999,22.003,22.099,20.9,22.808000000000003,20.264666666666667,22.828999999999997,21.323,22.49,20.469,22.233,13.008000000000001,20.667,13.416000000000002,
2023-08-30 22:19:51.644495,14.018,14.009,14.036,14.144,14.351999999999999,22.003,22.078,20.87933333333333,22.828999999999997,20.285333333333334,22.828999999999997,21.344333333333335,22.468999999999998,20.427,22.191000000000003,13.008000000000001,20.62566666666667,13.457333333333333,
2023-08-30 22:20:51.771917,14.018,14.009,14.036,14.123,14.351999999999999,22.087,22.203999999999997,21.173999999999996,22.849999999999998,20.18,22.849999999999998,21.721999999999998,22.49,20.468999999999998,22.401,13.008000000000001,20.542,13.457333333333333,
2023-08-30 22:21:51.779371,14.039333333333333,14.009,14.036,14.144,14.351999999999999,22.31866666666667,22.476333333333333,21.511,22.892,20.327333333333332,22.892,22.224999999999998,22.67833333333333,20.658,22.652999999999995,13.008000000000001,20.66766666666667,13.436666666666667,
2023-08-30 22:22:51.683823,14.018,14.009,14.036,14.144,14.351999999999999,22.445000000000004,22.686333333333334,21.784666666666666,22.933999999999997,20.537333333333333,22.955,22.581666666666663,22.888,20.805,22.862333333333336,13.008000000000001,20.731,13.457333333333333,
2023-08-30 22:23:51.738670,14.018,14.030000000000001,14.036,14.144,14.351999999999999,22.529666666666667,22.854,21.974,23.018,20.600666666666665,23.018,22.77,23.118333333333336,20.91,23.051666666666666,13.008000000000001,20.75166666666667,13.436666666666667,
2023-08-30 22:24:51.684105,14.018,14.030000000000001,14.036,14.144,14.351999999999999,22.635,23.000999999999994,22.18433333333333,23.081,20.684,23.081,22.938000000000002,23.223,21.05666666666667,23.198333333333334,13.008000000000001,20.793,13.436666666666667,
2023-08-30 22:25:51.683799,14.018,14.009,14.036,14.123,14.351999999999999,22.719333333333335,23.084,22.331666666666667,23.143999999999995,20.748,23.143999999999995,23.042666666666666,23.307,21.16133333333333,23.28233333333333,13.008000000000001,20.793,13.457333333333333,
2023-08-30 22:26:51.773436,14.018,14.009,14.036,14.144,14.351999999999999,22.782666666666668,23.147333333333336,22.395,23.185999999999996,20.748,23.207000000000004,23.105333333333334,23.348333333333333,21.224,23.324333333333332,13.008000000000001,20.856,13.416000000000002,
2023-08-30 22:27:51.674809,14.039333333333333,14.009,14.036,14.144,14.351999999999999,22.845333333333333,23.31533333333333,22.479,23.249666666666666,20.748,23.27,23.148,23.411666666666665,21.266666666666666,23.367,13.008000000000001,20.877000000000002,13.416000000000002,
2023-08-30 22:28:51.683771,14.039333333333333,14.009,14.036,14.144,14.351999999999999,22.88766666666667,23.294666666666668,22.563333333333333,23.271,20.769000000000002,23.334,23.189333333333337,23.411666666666665,21.308666666666667,23.429,13.028666666666666,20.856,13.457333333333333,
2023-08-30 22:29:51.652989,14.039333333333333,14.009,14.036,14.123,14.351999999999999,22.951000000000004,23.399,22.584666666666667,23.35433333333333,20.790000000000003,23.375333333333334,23.209999999999997,23.433000000000003,21.350000000000005,23.450333333333333,13.028666666666666,20.939999999999998,13.436666666666667,
2023-08-30 22:30:51.800402,14.018,14.009,14.036,14.144,14.351999999999999,23.014,23.42,22.606000000000005,23.397000000000002,20.748,23.438666666666666,23.25266666666667,23.433000000000003,21.350000000000005,23.513666666666666,13.008000000000001,20.919,13.478,
2023-08-30 22:31:51.620380,14.018,14.009,14.036,14.144,14.351999999999999,23.077,23.524999999999995,22.647333333333336,23.438333333333333,20.769000000000002,23.50133333333333,23.274,23.433000000000003,21.350000000000005,23.534333333333336,13.008000000000001,20.919,13.478,
2023-08-30 22:32:51.652604,14.060666666666668,14.009,14.036,14.144,14.351999999999999,23.098333333333333,23.524999999999995,22.667999999999996,23.459,20.811,23.543333333333333,23.336,23.495,21.414,23.59766666666667,13.008000000000001,20.961,13.436666666666667,
2023-08-30 22:33:51.677434,14.018,14.009,14.036,14.101999999999999,14.351999999999999,23.161999999999995,23.566999999999997,22.753,23.480333333333334,20.874,23.606666666666666,23.378,23.578999999999997,21.43466666666667,23.619,13.008000000000001,20.961,13.436666666666667,
2023-08-30 22:34:51.708127,14.018,14.009,14.036,14.144,14.351999999999999,23.203999999999997,23.588000000000005,22.774,23.523,20.895,23.648,23.462,23.663,21.49733333333333,23.681,13.008000000000001,20.961,13.436666666666667,
2023-08-30 22:35:51.651889,14.018,14.009,14.036,14.123,14.351999999999999,23.267,23.608999999999998,22.816000000000003,23.543666666666667,20.958000000000002,23.69066666666667,23.524999999999995,23.684,21.518666666666665,23.702333333333332,13.008000000000001,20.982,13.457333333333333,
