t,temp
2020-07-10,14.440069444444443
2020-07-11,14.454583333333332
2020-07-12,14.351944444444445
2020-07-13,14.445902777777778
2020-07-14,14.349930555555556
2020-07-15,13.731180555555556
2020-07-16,13.926597222222222
2020-07-17,14.307708333333334
2020-07-18,15.18201388888889
2020-07-19,14.559444444444445
2020-07-20,14.117083333333333
2020-07-21,14.290347222222223
2020-07-22,13.615625000000001
2020-07-23,12.732986111111112
2020-07-24,12.64125
2020-07-25,13.041944444444443
2020-07-26,13.076180555555556
2020-07-27,12.976458333333333
2020-07-28,13.223194444444445
2020-07-29,13.486041666666667
2020-07-30,13.648402777777777
2020-07-31,13.523055555555555
2020-08-01,13.675
2020-08-02,13.489166666666666
2020-08-03,13.296666666666667
2020-08-04,13.570763888888889
2020-08-05,13.415625
