tank,treatment,date,avg_temp,min_temp,max_temp,avg_temp_last_3_days,min_temp_last_3_days,max_temp_last_3_days
7,severe,2023-12-22,15.506477777777778,15.22,15.682,15.485536126564673,15.407097222222221,15.54303337969402
7,severe,2023-12-26,15.590098611111111,15.451,15.746,15.599825000000001,15.590098611111111,15.614088194444443
7,severe,2023-12-29,15.348434027777778,14.234,15.661,15.48640324074074,15.348434027777778,15.619501388888889
7,severe,2024-01-02,15.36873157162726,15.157,15.494,15.461600338690568,15.36873157162726,15.565371527777778
7,severe,2024-01-05,14.6024875,14.36,14.864,14.857651388888888,14.6024875,15.214326388888889
7,severe,2024-01-09,14.108884027777778,14.003,14.339,14.235586782713048,14.108884027777778,14.457975
7,severe,2024-01-12,14.058692361111111,13.94,14.129,14.076485648148148,14.058692361111111,14.106707638888889
7,severe,2024-01-16,14.17128125,14.066,14.276,14.128467592592592,14.075211111111111,14.17128125
7,severe,2024-01-19,14.099552083333334,13.982,14.8,14.257763674792665,14.099552083333334,14.385701388888888
7,severe,2024-01-23,14.099064673157162,13.772,14.296,14.115270168830165,14.09165763888889,14.155088194444444
7,severe,2024-01-26,14.063163481953291,13.877,14.234,14.109894558979788,14.063163481953291,14.135442896935933
7,severe,2024-01-30,14.140184722222223,13.793,14.422,14.12474236111111,14.072138888888889,14.161903472222223
7,severe,2024-02-02,14.361905923344947,14.234,14.548,14.274438548522388,14.049263194444444,14.412146527777777
7,severe,2024-02-06,14.067799721835883,13.919,14.17,14.103456851723072,14.067799721835883,14.136170833333333
7,severe,2024-02-09,14.009966666666667,13.562,14.486,14.052862037037038,13.979689583333334,14.168929861111112
7,severe,2024-02-13,13.618759916492692,13.373,13.94,13.626656777719786,13.618759916492692,13.63906875
7,severe,2024-02-16,13.725391666666667,13.541,13.856,13.667255515955802,13.613960416666666,13.725391666666667
7,severe,2024-02-20,14.21997637248089,14.129,14.296,14.111272369034864,13.949011805555555,14.21997637248089
8,severe,2023-09-29,16.65392044661549,15.722,18.753,16.015604963686645,15.434275694444445,16.65392044661549
8,severe,2023-10-03,15.874640972222222,14.902,18.753,15.951878288677838,15.495207088255734,16.485786805555556
8,severe,2023-10-06,17.471457898399443,16.859,17.807,17.06093843362485,16.775997875354108,17.471457898399443
8,severe,2023-10-10,19.158399305555555,18.354,19.89,18.701458333333335,17.92850347222222,19.158399305555555
8,severe,2023-10-13,19.094727777777777,18.585,19.511,19.103939583333332,19.07836388888889,19.138727083333333
8,severe,2023-10-17,18.850279166666667,17.302,20.059,19.09313200291889,18.850279166666667,19.217032638888888
8,severe,2023-10-20,19.346196527777778,17.68,20.08,18.91590351561457,17.933944444444442,19.467569574621486
8,severe,2023-10-24,19.74328217821782,19.448,19.89,19.467870730882613,19.184307792207793,19.74328217821782
8,severe,2023-10-27,19.39615486111111,18.732,19.954,19.432576157407407,19.39615486111111,19.47254513888889
8,severe,2023-10-31,19.097939583333336,18.248,19.469,19.018902083333334,18.8175,19.141266666666667
8,severe,2023-11-03,18.962768963117608,17.933,20.08,19.10179821918735,18.962768963117608,19.23126111111111
8,severe,2023-11-07,19.345647222222222,19.132,20.016,19.347768824074077,19.345647222222222,19.351528000000002
8,severe,2023-11-10,19.259834607366226,18.648,20.037,19.224870526910625,19.14771230020848,19.26706467315716
8,severe,2023-11-14,19.267622392211404,18.943,19.764,19.270160010366766,19.261879166666667,19.280978472222223
8,severe,2023-11-17,19.233385416666668,18.312,19.448,19.226479629629633,19.21979097222222,19.233385416666668
8,severe,2023-11-21,19.15286875,18.122,19.637,19.182147477527945,19.15286875,19.228051460361613
8,severe,2023-11-24,19.157404447533008,18.922,19.637,19.172913443568028,19.157404447533008,19.18486230876217
8,severe,2023-11-28,19.047602083333334,18.859,19.259,19.061045746728997,19.047602083333334,19.072222222222223
8,severe,2023-12-01,18.939975694444446,18.712,19.07,18.98814418302169,18.939975694444446,19.02302152777778
8,severe,2023-12-05,18.799629166666666,18.438,19.006,18.865367129629632,18.799629166666666,18.916803472222224
8,severe,2023-12-08,18.677635416666668,18.248,18.943,18.759052797416683,18.677635416666668,18.829980555555554
8,severe,2023-12-12,18.112938888888888,16.923,19.132,18.4821507120305,18.112938888888888,18.68116342141864
8,severe,2023-12-15,15.163471488178025,14.397,15.912,16.168971514577862,15.163471488178025,17.166080555555556
8,severe,2023-12-19,15.022307157748436,14.46,15.681,14.686774548255817,14.489370653685675,15.022307157748436
8,severe,2023-12-22,15.375339583333334,15.155,15.66,15.355064385978471,15.278779861111111,15.41107371349096
8,severe,2023-12-26,15.413404861111111,15.281,15.534,15.429995601851852,15.413404861111111,15.453489583333333
8,severe,2023-12-29,15.114699305555556,13.954,15.491,15.253681250000001,15.114699305555556,15.41395625
8,severe,2024-01-02,15.177971488178025,14.986,15.281,15.2776835516149,15.177971488178025,15.39234375
8,severe,2024-01-05,14.419767361111111,14.165,14.691,14.675916666666668,14.419767361111111,15.024345138888888
8,severe,2024-01-09,13.939984722222222,13.828,14.165,14.061022628722364,13.939984722222222,14.278327083333334
8,severe,2024-01-12,13.828558333333334,13.639,13.954,13.851835648148148,13.825195833333334,13.901752777777778
8,severe,2024-01-16,13.906250694444445,13.765,14.081,13.855833564814816,13.805964583333333,13.906250694444445
8,severe,2024-01-19,13.703052777777778,13.513,13.954,13.891049142649257,13.703052777777778,14.139946527777777
8,severe,2024-01-23,13.900819888734354,13.639,14.039,13.90400824994849,13.882649305555555,13.928555555555556
8,severe,2024-01-26,13.885208067940551,13.702,14.081,13.936983005005255,13.885208067940551,13.976133704735377
8,severe,2024-01-30,13.960206944444444,13.702,14.228,13.941276620370372,13.886847916666667,13.976775
8,severe,2024-02-02,14.183605574912892,14.081,14.397,14.087483571267262,13.852561111111111,14.226284027777778
8,severe,2024-02-06,13.876515994436717,13.765,13.997,13.917081720367795,13.876515994436717,13.951797916666667
8,severe,2024-02-09,13.848119444444444,13.387,14.312,13.880436342592594,13.80515763888889,13.988031944444446
8,severe,2024-02-13,13.453178844815588,13.197,13.828,13.468336698271864,13.453178844815588,13.48621111111111
8,severe,2024-02-16,13.525525,13.387,13.681,13.488638802284553,13.469312934631432,13.525525
