Date,Time,Tank,Genet,N,Splitting
10/13/23,18:45,3,D,21,2
10/13/23,18:45,3,E,19,1
10/13/23,18:45,4,A,13,0
10/13/23,18:45,4,B,18,1
10/13/23,18:45,4,C,10,0
10/13/23,18:45,4,D,22,0
10/13/23,18:45,4,E,24,1
10/13/23,18:45,5,A,12,1
10/13/23,18:45,5,B,18,1
10/13/23,18:45,5,C,9,0
10/13/23,18:45,5,D,28,0
10/13/23,18:45,5,E,23,2
10/13/23,18:45,6,A,19,1
10/13/23,18:45,6,B,22,0
10/13/23,18:45,6,C,11,1
10/13/23,18:45,6,D,25,1
10/13/23,18:45,6,E,24,2
10/13/23,18:45,7,A,22,2
10/13/23,18:45,7,B,19,1
10/13/23,18:45,7,C,11,1
10/13/23,18:45,7,D,21,0
10/13/23,18:45,7,E,22,1
10/13/23,18:45,8,A,12,0
10/13/23,18:45,8,B,22,1
10/13/23,18:45,8,C,8,0
10/13/23,18:45,8,D,22,1
10/13/23,18:45,8,E,29,0
10/13/23,18:45,9,A,15,1
10/13/23,18:45,9,B,18,2
10/13/23,18:45,9,C,14,1
10/13/23,18:45,9,D,20,1
10/13/23,18:45,9,E,19,0
10/13/23,18:45,10,A,15,1
10/13/23,18:45,10,B,20,1
10/13/23,18:45,10,C,12,0
10/13/23,18:45,10,D,24,0
10/13/23,18:45,10,E,25,0
10/13/23,18:45,11,A,14,1
10/13/23,18:45,11,B,18,0
10/13/23,18:45,11,C,13,1
10/13/23,18:45,11,D,21,0
10/13/23,18:45,11,E,23,0
10/13/23,18:45,12,A,14,1
10/13/23,18:45,12,B,18,0
10/13/23,18:45,12,C,11,0
10/13/23,18:45,12,D,25,0
10/13/23,18:45,12,E,27,1
10/13/23,18:45,13,A,12,0
10/13/23,18:45,13,B,19,0
10/13/23,18:45,13,C,12,0
10/13/23,18:45,13,D,23,1
10/13/23,18:45,13,E,22,1
10/13/23,18:45,14,A,15,1
10/13/23,18:45,14,B,20,0
10/13/23,18:45,14,C,8,0
10/13/23,18:45,14,D,19,0
10/13/23,18:45,14,E,24,2
10/13/23,18:45,15,A,12,0
10/13/23,18:45,15,B,20,0
10/13/23,18:45,15,C,7,1
10/13/23,18:45,15,D,18,2
10/13/23,18:45,15,E,25,4
10/17/23,17:30,1,A,19,0
10/17/23,17:30,1,B,21,0
10/17/23,17:30,1,C,10,0
10/17/23,17:30,1,D,20,0
10/17/23,17:30,1,E,20,0
10/17/23,17:30,2,A,14,1
10/17/23,17:30,2,B,19,0
10/17/23,17:30,2,C,9,0
10/17/23,17:30,2,D,22,0
10/17/23,17:30,2,E,28,0
10/17/23,17:30,3,A,17,0
10/17/23,17:30,3,B,19,1
10/17/23,17:30,3,C,12,0
10/17/23,17:30,3,D,21,0
10/17/23,17:30,3,E,19,0
10/17/23,17:30,4,A,15,0
