Timestamp,Temp set,Heater status,28-00000eb3cf7d,28-00000eb42add,28-00000eb5045f,28-00000eb3fd89,28-00000eb51050,28-00000eb3e681,28-00000eb4cb62,
2024-03-08 16:41:20.722270,15.32,off,15.281,15.305,15.343,15.808,15.807,13.892,13.758,
2024-03-08 16:42:20.753870,15.32,on,15.281,15.263,15.301,15.808,15.807,13.892,13.779,
2024-03-08 16:43:20.669887,15.32,on,15.281,15.263,15.364,15.808,15.807,13.913,13.821,
2024-03-08 16:44:20.811612,15.32,on,15.281,15.305,15.301,15.808,15.807,13.892,13.779,
2024-03-08 16:45:20.648819,15.32,on,15.281,15.305,15.322,15.808,15.828,13.808,13.674,
2024-03-08 16:46:20.623824,15.32,off,15.281,15.305,15.364,15.808,15.828,13.702,13.57,
2024-03-08 16:47:20.596128,15.32,off,15.281,15.305,15.343,15.808,15.807,13.555,13.423,
2024-03-08 16:48:20.603779,15.32,off,15.302,15.305,15.364,15.808,15.869,13.471,13.339,
2024-03-08 16:49:20.586397,15.32,off,15.302,15.305,15.343,15.829,15.828,13.45,13.36,
2024-03-08 16:50:20.530450,15.32,off,15.302,15.305,15.364,15.808,15.869,13.471,13.402,
2024-03-08 16:51:20.751799,15.33,off,15.323,15.305,15.364,15.829,15.807,13.534,13.444,
2024-03-08 16:52:20.643354,15.33,off,15.344,15.305,15.364,15.85,15.848,13.555,13.444,
2024-03-08 16:53:20.591365,15.33,off,15.323,15.305,15.364,15.829,15.848,13.577,13.465,
2024-03-08 16:54:20.623793,15.33,off,15.323,15.305,15.364,15.829,15.869,13.618,13.507,
2024-03-08 16:55:20.592176,15.33,off,15.344,15.305,15.364,15.808,15.869,13.618,13.507,
2024-03-08 16:56:20.593440,15.33,off,15.323,15.305,15.364,15.829,15.869,13.639,13.569,
2024-03-08 16:57:20.696652,15.33,off,15.344,15.305,15.364,15.85,15.869,13.682,13.569,
2024-03-08 16:58:20.495750,15.33,off,15.344,15.305,15.364,15.829,15.869,13.682,13.611,
2024-03-08 16:59:20.550236,15.33,off,15.344,15.347,15.385,15.829,15.869,13.703,13.633,
2024-03-08 17:00:20.721151,15.33,off,15.302,15.326,15.364,15.829,15.848,13.765,13.633,
2024-03-08 17:01:20.562696,15.33,off,15.323,15.305,15.364,15.829,15.869,13.765,13.653,
2024-03-08 17:02:20.616549,15.33,off,15.344,15.305,15.364,15.808,15.869,13.787,13.695,
2024-03-08 17:03:20.619855,15.33,off,15.323,15.305,15.364,15.808,15.869,13.829,13.716,
2024-03-08 17:04:20.591694,15.33,off,15.344,15.305,15.364,15.829,15.848,13.829,13.737,
2024-03-08 17:05:20.719806,15.33,off,15.344,15.326,15.364,15.829,15.848,13.85,13.758,
2024-03-08 17:06:20.586484,15.33,off,15.344,15.305,15.364,15.85,15.869,13.871,13.758,
2024-03-08 17:07:20.530254,15.33,off,15.344,15.305,15.364,15.829,15.869,13.892,13.821,
2024-03-08 17:08:20.596846,15.33,off,15.323,15.305,15.364,15.829,15.848,13.913,13.821,
2024-03-08 17:09:20.562529,15.33,off,15.323,15.347,15.364,15.85,15.869,13.955,13.821,
2024-03-08 17:10:20.562606,15.33,off,15.344,15.326,15.364,15.85,15.869,13.892,13.758,
2024-03-08 17:11:20.689057,15.34,off,15.344,15.326,15.385,15.829,15.869,13.787,13.653,
2024-03-08 17:12:20.571885,15.34,off,15.344,15.347,15.364,15.871,15.869,13.681,13.528,
2024-03-08 17:13:20.659356,15.34,off,15.344,15.347,15.385,15.85,15.869,13.534,13.423,
2024-03-08 17:14:20.754321,15.34,off,15.344,15.347,15.385,15.871,15.869,13.45,13.318,
2024-03-08 17:15:20.658341,15.34,on,15.302,15.305,15.364,15.871,15.869,13.45,13.36,
